"","e1_pr","e1_vol","e1_s1","e1_s2","e1_s3","e1_s4","e1_s5","e1_mean","e1_var","e2_pr","e2_vol","e2_s1","e2_s2","e2_s3","e2_s4","e2_s5","e2_mean","e2_var","b1_pr","b1_vol","b1_s1","b1_s2","b1_s3","b1_s4","b1_s5","b1_mean","b1_var","b2_pr","b2_vol","b2_s1","b2_s2","b2_s3","b2_s4","b2_s5","b2_mean","b2_var"
"1",24.99,10110,0.78,0.11,0.08,0.01,0.02,4.6,0.7,24.99,6960,0.86,0.03,0.02,0.01,0.08,4.6,1.3,14.99,17073,0.76,0.12,0.09,0.02,0.01,4.6,0.69,16.99,18663,0.85,0.05,0.01,0.01,0.08,4.6,1.3
"2",24.99,7846,0.87,0.02,0.02,0.01,0.08,4.6,1.32,26.99,8588,0.63,0.3,0.03,0.01,0.03,4.5,0.7,18.99,16575,0.8,0.08,0.03,0.01,0.08,4.5,1.31,18.99,11546,0.61,0.3,0.02,0.02,0.05,4.4,0.99
"3",26.99,12227,0.63,0.32,0.01,0.01,0.03,4.5,0.69,24.99,5237,0.63,0.3,0.03,0.01,0.03,4.5,0.7,16.99,10633,0.71,0.16,0.05,0.01,0.07,4.4,1.3,18.99,8994,0.78,0.11,0.08,0.01,0.02,4.6,0.7
"4",28.99,18880,0.85,0.05,0.01,0.01,0.08,4.6,1.3,24.99,5137,0.77,0.11,0.03,0.01,0.08,4.5,1.31,14.99,9517,0.81,0.11,0.01,0.02,0.05,4.6,1,14.99,16697,0.69,0.21,0.04,0.01,0.05,4.5,0.98
"5",28.99,16810,0.71,0.18,0.04,0.02,0.05,4.5,1,28.99,9685,0.66,0.14,0.14,0.03,0.03,4.4,1.02,14.99,17347,0.55,0.35,0.07,0.01,0.02,4.4,0.7,18.99,5026,0.82,0.06,0.05,0.03,0.04,4.6,1.02
"6",28.99,13684,0.66,0.17,0.12,0.01,0.04,4.4,0.99,28.99,8132,0.72,0.14,0.04,0.03,0.07,4.4,1.32,16.99,7512,0.72,0.13,0.07,0.05,0.03,4.5,0.99,16.99,16410,0.81,0.08,0.03,0.04,0.04,4.6,1
"7",24.99,12090,0.66,0.24,0.06,0.02,0.02,4.5,0.71,24.99,18162,0.68,0.18,0.12,0.01,0.01,4.5,0.7,16.99,14951,0.72,0.1,0.09,0.04,0.05,4.4,1.3,18.99,6699,0.62,0.32,0.02,0.02,0.02,4.5,0.68
"8",28.99,7631,0.62,0.31,0.03,0.01,0.03,4.5,0.69,28.99,15045,0.75,0.12,0.07,0.02,0.04,4.5,1.02,14.99,13574,0.86,0.03,0.02,0.01,0.08,4.6,1.3,18.99,18604,0.79,0.13,0.01,0.01,0.06,4.6,1
"9",28.99,16782,0.61,0.3,0.01,0.04,0.04,4.4,1.01,24.99,12512,0.88,0.01,0.01,0.03,0.07,4.6,1.28,18.99,14819,0.72,0.1,0.09,0.04,0.05,4.4,1.3,18.99,7633,0.66,0.26,0.04,0.02,0.02,4.5,0.71
"10",26.99,19806,0.55,0.38,0.03,0.01,0.03,4.4,0.71,28.99,15721,0.71,0.19,0.03,0.03,0.04,4.5,1.01,14.99,9473,0.72,0.1,0.09,0.04,0.05,4.4,1.3,18.99,7359,0.66,0.2,0.11,0.02,0.01,4.5,0.69
"11",28.99,8230,0.55,0.35,0.07,0.01,0.02,4.4,0.7,28.99,5758,0.71,0.19,0.03,0.03,0.04,4.5,1.01,18.99,12522,0.86,0.03,0.02,0.01,0.08,4.6,1.3,16.99,10894,0.87,0.02,0.02,0.01,0.08,4.6,1.29
"12",24.99,7362,0.73,0.18,0.04,0.03,0.02,4.6,0.69,24.99,5860,0.72,0.13,0.08,0.04,0.03,4.5,0.99,18.99,8148,0.69,0.17,0.04,0.04,0.06,4.4,1.3,18.99,17658,0.55,0.35,0.07,0.01,0.02,4.4,0.7
"13",28.99,6178,0.8,0.09,0.02,0.02,0.07,4.5,1.29,24.99,11439,0.63,0.3,0.03,0.01,0.03,4.5,0.7,16.99,9567,0.71,0.16,0.05,0.01,0.07,4.4,1.3,14.99,10768,0.61,0.3,0.02,0.02,0.05,4.4,0.99
"14",24.99,11045,0.79,0.09,0.01,0.05,0.06,4.5,1.3,26.99,5065,0.55,0.38,0.03,0.01,0.03,4.4,0.71,14.99,12506,0.87,0.02,0.02,0.01,0.08,4.6,1.29,16.99,14147,0.65,0.23,0.09,0.02,0.01,4.5,0.69
"15",24.99,19395,0.62,0.29,0.02,0.02,0.05,4.4,1.02,28.99,7350,0.64,0.24,0.05,0.03,0.04,4.4,1,14.99,18073,0.6,0.31,0.01,0.03,0.05,4.4,0.99,16.99,14280,0.73,0.1,0.09,0.01,0.07,4.4,1.3
