ID,e1_pr,e1_vol,e1_s1,e1_s2,e1_s3,e1_s4,e1_s5,e1_mean,e1_var,e2_pr,e2_vol,e2_s1,e2_s2,e2_s3,e2_s4,e2_s5,e2_mean,e2_var,b1_pr,b1_vol,b1_s1,b1_s2,b1_s3,b1_s4,b1_s5,b1_mean,b1_var,b2_pr,b2_vol,b2_s1,b2_s2,b2_s3,b2_s4,b2_s5,b2_mean,b2_var
1,23.99,13890,0.51,0.33,0.11,0.03,0.02,4.3,0.8,23.99,12837,0.57,0.33,0.05,0.02,0.03,4.4,0.8,12.99,19751,0.59,0.2,0.14,0.05,0.02,4.3,1,16.99,15124,0.64,0.23,0.06,0.04,0.03,4.4,1
2,25.99,17794,0.53,0.34,0.11,0.01,0.01,4.4,0.6,23.99,10143,0.79,0.1,0.01,0.01,0.09,4.5,1.4,16.99,19506,0.85,0.03,0.02,0.01,0.09,4.5,1.5,16.99,18477,0.66,0.22,0.04,0.01,0.07,4.4,1.2
3,27.99,16592,0.79,0.1,0.01,0.01,0.09,4.5,1.4,25.99,12015,0.77,0.1,0.07,0.01,0.05,4.5,1.1,12.99,14513,0.53,0.34,0.11,0.01,0.01,4.4,0.6,12.99,10688,0.65,0.25,0.08,0.01,0.01,4.5,0.6
4,27.99,16237,0.67,0.16,0.1,0.03,0.04,4.4,1.1,25.99,11195,0.56,0.35,0.04,0.04,0.01,4.4,0.7,14.99,18392,0.63,0.22,0.02,0.06,0.07,4.3,1.4,14.99,10519,0.63,0.22,0.02,0.06,0.07,4.3,1.4
5,23.99,16480,0.56,0.35,0.04,0.04,0.01,4.4,0.7,23.99,16856,0.72,0.11,0.08,0.03,0.06,4.4,1.3,12.99,15921,0.46,0.42,0.1,0.01,0.01,4.3,0.6,16.99,19752,0.64,0.13,0.12,0.1,0.01,4.3,1.2
6,25.99,12550,0.64,0.13,0.12,0.1,0.01,4.3,1.2,23.99,10888,0.53,0.34,0.11,0.01,0.01,4.4,0.6,12.99,15832,0.67,0.16,0.1,0.03,0.04,4.4,1.1,14.99,14061,0.46,0.44,0.05,0.03,0.02,4.3,0.7
7,25.99,14074,0.56,0.35,0.04,0.04,0.01,4.4,0.7,25.99,10798,0.7,0.09,0.08,0.07,0.06,4.3,1.5,14.99,18887,0.76,0.14,0.01,0.03,0.06,4.5,1.2,16.99,18310,0.7,0.09,0.08,0.07,0.06,4.3,1.5
8,23.99,15701,0.56,0.35,0.04,0.04,0.01,4.4,0.7,27.99,12281,0.7,0.09,0.08,0.07,0.06,4.3,1.5,14.99,14599,0.6,0.29,0.05,0.02,0.04,4.4,0.9,12.99,18412,0.61,0.24,0.04,0.05,0.06,4.3,1.3
9,25.99,13996,0.72,0.15,0.01,0.03,0.09,4.4,1.5,27.99,15383,0.65,0.25,0.07,0.01,0.02,4.5,0.7,12.99,15340,0.65,0.25,0.08,0.01,0.01,4.5,0.6,16.99,13945,0.65,0.25,0.07,0.01,0.02,4.5,0.7
10,25.99,10077,0.64,0.13,0.12,0.1,0.01,4.3,1.2,23.99,11046,0.46,0.44,0.05,0.03,0.02,4.3,0.7,14.99,13130,0.65,0.25,0.08,0.01,0.01,4.5,0.6,16.99,19451,0.72,0.11,0.08,0.03,0.06,4.4,1.3
