ID,e1_pr,e1_vol,e1_s1,e1_s2,e1_s3,e1_s4,e1_s5,e1_mean,e1_var,e2_pr,e2_vol,e2_s1,e2_s2,e2_s3,e2_s4,e2_s5,e2_mean,e2_var,b1_pr,b1_vol,b1_s1,b1_s2,b1_s3,b1_s4,b1_s5,b1_mean,b1_var,b2_pr,b2_vol,b2_s1,b2_s2,b2_s3,b2_s4,b2_s5,b2_mean,b2_var
14,24.99,6583,0.6,0.32,0.01,0.03,0.04,4.4,0.95,28.99,8474,0.82,0.04,0.04,0.02,0.08,4.5,1.43,15.99,13585,0.71,0.23,0.03,0.02,0.01,4.6,0.53,17.99,19569,0.74,0.18,0.02,0.03,0.03,4.6,0.77
22,24.99,16678,0.71,0.17,0.01,0.02,0.09,4.4,1.43,26.99,10624,0.69,0.18,0.07,0.02,0.04,4.5,0.93,15.99,15455,0.65,0.22,0.05,0.05,0.03,4.4,0.99,17.99,16465,0.75,0.18,0.01,0.03,0.03,4.6,0.81
25,28.99,9105,0.74,0.18,0.02,0.03,0.03,4.6,0.77,26.99,16051,0.73,0.15,0.01,0.02,0.09,4.4,1.49,16.99,18291,0.78,0.07,0.06,0.05,0.04,4.5,1.15,16.99,9494,0.86,0.03,0.01,0.04,0.06,4.6,1.22
33,24.99,11562,0.73,0.16,0.04,0.01,0.06,4.5,1.1,24.99,6840,0.77,0.12,0.01,0.05,0.05,4.5,1.21,16.99,5835,0.71,0.17,0.01,0.02,0.09,4.4,1.43,17.99,8146,0.77,0.12,0.05,0.03,0.03,4.6,0.86
47,28.99,16372,0.86,0.03,0.01,0.04,0.06,4.6,1.22,26.99,9612,0.62,0.27,0.04,0.02,0.05,4.4,1.02,17.99,16063,0.6,0.28,0.08,0.02,0.02,4.4,0.76,15.99,9769,0.6,0.32,0.01,0.03,0.04,4.4,0.95
58,26.99,6126,0.86,0.03,0.01,0.04,0.06,4.6,1.22,28.99,13422,0.82,0.07,0.04,0.03,0.04,4.6,0.97,16.99,11090,0.73,0.19,0.04,0.03,0.01,4.6,0.58,15.99,18727,0.71,0.17,0.01,0.02,0.09,4.4,1.43
63,26.99,5536,0.72,0.13,0.11,0.01,0.03,4.5,0.87,28.99,18042,0.52,0.4,0.03,0.03,0.02,4.4,0.66,15.99,5615,0.82,0.04,0.04,0.02,0.08,4.5,1.43,15.99,18259,0.62,0.27,0.04,0.02,0.05,4.4,1.02
66,26.99,17413,0.73,0.19,0.04,0.03,0.01,4.6,0.58,26.99,12584,0.75,0.17,0.03,0.02,0.03,4.6,0.79,16.99,13767,0.82,0.09,0.01,0.03,0.05,4.6,1,17.99,19785,0.82,0.03,0.04,0.05,0.06,4.5,1.36
81,28.99,19847,0.62,0.27,0.04,0.02,0.05,4.4,1.02,26.99,7341,0.7,0.2,0.05,0.01,0.04,4.5,0.9,17.99,17860,0.72,0.13,0.11,0.01,0.03,4.5,0.87,16.99,11209,0.77,0.13,0.06,0.03,0.01,4.6,0.68
82,24.99,18508,0.64,0.26,0.02,0.01,0.07,4.4,1.15,28.99,7254,0.77,0.13,0.01,0.01,0.08,4.5,1.29,15.99,6813,0.69,0.14,0.14,0.02,0.01,4.5,0.77,17.99,13426,0.76,0.08,0.04,0.02,0.1,4.4,1.64
83,28.99,16103,0.77,0.13,0.01,0.01,0.08,4.5,1.29,24.99,5973,0.68,0.18,0.05,0.03,0.06,4.4,1.22,17.99,17407,0.73,0.19,0.04,0.03,0.01,4.6,0.58,16.99,14157,0.6,0.28,0.08,0.02,0.02,4.4,0.76
85,28.99,14198,0.83,0.05,0.03,0.04,0.05,4.6,1.1,26.99,16803,0.62,0.32,0.01,0.02,0.03,4.5,0.74,16.99,12324,0.75,0.18,0.03,0.01,0.03,4.6,0.71,17.99,18396,0.76,0.08,0.04,0.02,0.1,4.4,1.64
106,26.99,18466,0.83,0.05,0.03,0.04,0.05,4.6,1.1,24.99,13206,0.76,0.08,0.02,0.06,0.08,4.4,1.54,17.99,11756,0.64,0.24,0.1,0.01,0.01,4.5,0.61,17.99,18569,0.68,0.18,0.05,0.03,0.06,4.4,1.22
111,28.99,7964,0.82,0.07,0.04,0.03,0.04,4.6,0.97,24.99,19793,0.82,0.04,0.04,0.02,0.08,4.5,1.43,15.99,14653,0.75,0.18,0.03,0.01,0.03,4.6,0.71,15.99,16773,0.83,0.05,0.05,0.03,0.04,4.6,1.04
123,24.99,16141,0.77,0.13,0.01,0.01,0.08,4.5,1.29,26.99,19095,0.77,0.13,0.05,0.02,0.03,4.6,0.84,17.99,13331,0.7,0.18,0.06,0.05,0.01,4.5,0.81,16.99,19617,0.68,0.19,0.04,0.02,0.07,4.4,1.27
131,24.99,9956,0.75,0.18,0.03,0.01,0.03,4.6,0.71,24.99,7594,0.86,0.03,0.01,0.04,0.06,4.6,1.22,17.99,12667,0.6,0.32,0.01,0.03,0.04,4.4,0.95,16.99,5170,0.62,0.26,0.05,0.02,0.05,4.4,1.05
136,24.99,19852,0.61,0.26,0.08,0.04,0.01,4.4,0.8,26.99,6222,0.75,0.18,0.03,0.01,0.03,4.6,0.71,17.99,17132,0.77,0.11,0.07,0.04,0.01,4.6,0.74,15.99,11514,0.82,0.09,0.01,0.03,0.05,4.6,1
140,24.99,16327,0.74,0.1,0.07,0.02,0.07,4.4,1.36,26.99,11788,0.72,0.18,0.07,0.02,0.01,4.6,0.62,15.99,6123,0.52,0.4,0.03,0.03,0.02,4.4,0.66,16.99,8579,0.77,0.12,0.05,0.03,0.03,4.6,0.86
146,24.99,5744,0.71,0.17,0.01,0.02,0.09,4.4,1.43,26.99,10303,0.77,0.12,0.01,0.05,0.05,4.5,1.21,15.99,8292,0.76,0.08,0.02,0.06,0.08,4.4,1.54,17.99,13429,0.81,0.08,0.06,0.01,0.04,4.6,0.93
147,26.99,7678,0.72,0.14,0.07,0.04,0.03,4.5,0.98,24.99,14257,0.71,0.17,0.01,0.02,0.09,4.4,1.43,15.99,17051,0.72,0.14,0.07,0.04,0.03,4.5,0.98,15.99,11623,0.78,0.15,0.02,0.01,0.04,4.6,0.89
148,28.99,12865,0.75,0.12,0.1,0.02,0.01,4.6,0.65,24.99,10142,0.74,0.14,0.05,0.03,0.04,4.5,1.06,17.99,18617,0.6,0.32,0.01,0.03,0.04,4.4,0.95,15.99,9560,0.69,0.18,0.07,0.02,0.04,4.5,0.93
149,26.99,17533,0.66,0.19,0.07,0.04,0.04,4.4,1.09,26.99,5836,0.69,0.14,0.14,0.02,0.01,4.5,0.77,15.99,11643,0.68,0.19,0.04,0.02,0.07,4.4,1.27,16.99,13114,0.77,0.13,0.05,0.02,0.03,4.6,0.84
157,26.99,8353,0.83,0.07,0.01,0.02,0.07,4.6,1.19,28.99,15755,0.78,0.15,0.02,0.01,0.04,4.6,0.89,17.99,12563,0.74,0.18,0.02,0.03,0.03,4.6,0.77,17.99,11729,0.71,0.23,0.03,0.02,0.01,4.6,0.53
165,24.99,5074,0.6,0.28,0.08,0.02,0.02,4.4,0.76,26.99,12841,0.82,0.05,0.02,0.01,0.1,4.5,1.5,15.99,14244,0.69,0.18,0.07,0.02,0.04,4.5,0.93,17.99,14807,0.77,0.12,0.05,0.03,0.03,4.6,0.86
167,24.99,8955,0.75,0.17,0.03,0.02,0.03,4.6,0.79,26.99,17128,0.73,0.15,0.01,0.02,0.09,4.4,1.49,15.99,19288,0.81,0.08,0.06,0.01,0.04,4.6,0.93,15.99,16341,0.78,0.15,0.02,0.01,0.04,4.6,0.89
178,26.99,12987,0.64,0.24,0.1,0.01,0.01,4.5,0.61,24.99,19833,0.6,0.32,0.01,0.03,0.04,4.4,0.95,15.99,10681,0.72,0.13,0.11,0.01,0.03,4.5,0.87,16.99,16389,0.78,0.15,0.02,0.01,0.04,4.6,0.89
179,24.99,7670,0.82,0.09,0.01,0.03,0.05,4.6,1,24.99,11131,0.74,0.18,0.02,0.03,0.03,4.6,0.77,15.99,6882,0.82,0.01,0.01,0.07,0.09,4.4,1.74,17.99,9477,0.77,0.13,0.06,0.03,0.01,4.6,0.68
185,26.99,10467,0.62,0.24,0.08,0.05,0.01,4.4,0.86,28.99,14540,0.86,0.03,0.01,0.04,0.06,4.6,1.22,15.99,6283,0.72,0.14,0.07,0.04,0.03,4.5,0.98,15.99,8614,0.66,0.22,0.09,0.02,0.01,4.5,0.7
188,24.99,19395,0.71,0.12,0.12,0.04,0.01,4.5,0.85,28.99,9361,0.75,0.12,0.1,0.02,0.01,4.6,0.65,17.99,17909,0.62,0.24,0.08,0.05,0.01,4.4,0.86,16.99,7081,0.68,0.19,0.04,0.02,0.07,4.4,1.27
204,26.99,17802,0.86,0.03,0.01,0.04,0.06,4.6,1.22,24.99,12813,0.64,0.24,0.1,0.01,0.01,4.5,0.61,16.99,17163,0.62,0.27,0.04,0.02,0.05,4.4,1.02,17.99,10588,0.69,0.14,0.14,0.02,0.01,4.5,0.77
222,26.99,8380,0.62,0.32,0.01,0.02,0.03,4.5,0.74,28.99,15792,0.69,0.18,0.07,0.02,0.04,4.5,0.93,15.99,15390,0.7,0.2,0.05,0.01,0.04,4.5,0.9,16.99,11256,0.75,0.12,0.1,0.02,0.01,4.6,0.65
236,26.99,7950,0.72,0.18,0.07,0.02,0.01,4.6,0.62,26.99,12967,0.72,0.13,0.11,0.01,0.03,4.5,0.87,17.99,19180,0.69,0.14,0.14,0.02,0.01,4.5,0.77,15.99,9762,0.83,0.05,0.03,0.04,0.05,4.6,1.1
243,24.99,10956,0.62,0.24,0.08,0.05,0.01,4.4,0.86,26.99,19102,0.66,0.22,0.09,0.02,0.01,4.5,0.7,16.99,5691,0.82,0.09,0.01,0.03,0.05,4.6,1,17.99,15444,0.82,0.03,0.04,0.05,0.06,4.5,1.36
245,24.99,16541,0.76,0.08,0.02,0.06,0.08,4.4,1.54,24.99,10662,0.71,0.23,0.03,0.02,0.01,4.6,0.53,17.99,17312,0.62,0.26,0.05,0.02,0.05,4.4,1.05,17.99,9690,0.62,0.32,0.01,0.02,0.03,4.5,0.74
246,26.99,17456,0.75,0.17,0.03,0.02,0.03,4.6,0.79,24.99,9996,0.69,0.14,0.14,0.02,0.01,4.5,0.77,16.99,11961,0.72,0.15,0.07,0.02,0.04,4.5,1.02,15.99,12158,0.62,0.27,0.04,0.02,0.05,4.4,1.02
247,26.99,11441,0.76,0.08,0.02,0.06,0.08,4.4,1.54,26.99,13358,0.6,0.32,0.01,0.03,0.04,4.4,0.95,15.99,14302,0.71,0.17,0.01,0.02,0.09,4.4,1.43,16.99,15411,0.72,0.14,0.07,0.04,0.03,4.5,0.98
255,26.99,11845,0.62,0.26,0.05,0.02,0.05,4.4,1.05,28.99,17574,0.72,0.13,0.11,0.01,0.03,4.5,0.87,17.99,11557,0.71,0.12,0.12,0.04,0.01,4.5,0.85,16.99,6478,0.75,0.12,0.1,0.02,0.01,4.6,0.65
259,28.99,10017,0.82,0.07,0.04,0.03,0.04,4.6,0.97,26.99,8570,0.73,0.15,0.01,0.02,0.09,4.4,1.49,15.99,9535,0.64,0.24,0.1,0.01,0.01,4.5,0.61,16.99,17633,0.72,0.18,0.07,0.02,0.01,4.6,0.62
263,28.99,17136,0.72,0.13,0.11,0.01,0.03,4.5,0.87,28.99,6818,0.75,0.18,0.01,0.03,0.03,4.6,0.81,17.99,18321,0.82,0.05,0.02,0.01,0.1,4.5,1.5,16.99,8456,0.73,0.19,0.04,0.03,0.01,4.6,0.58
271,24.99,14948,0.61,0.26,0.08,0.04,0.01,4.4,0.8,28.99,8942,0.62,0.32,0.01,0.02,0.03,4.5,0.74,17.99,18145,0.73,0.19,0.04,0.03,0.01,4.6,0.58,15.99,11508,0.52,0.4,0.03,0.03,0.02,4.4,0.66
273,26.99,9512,0.64,0.24,0.1,0.01,0.01,4.5,0.61,24.99,14695,0.62,0.24,0.08,0.05,0.01,4.4,0.86,15.99,5055,0.82,0.09,0.01,0.03,0.05,4.6,1,17.99,19809,0.75,0.18,0.01,0.03,0.03,4.6,0.81
276,24.99,7492,0.73,0.15,0.01,0.02,0.09,4.4,1.49,26.99,9542,0.74,0.18,0.02,0.03,0.03,4.6,0.77,16.99,18736,0.71,0.12,0.12,0.04,0.01,4.5,0.85,17.99,17061,0.82,0.09,0.01,0.03,0.05,4.6,1
281,28.99,17899,0.69,0.14,0.14,0.02,0.01,4.5,0.77,26.99,15048,0.52,0.4,0.03,0.03,0.02,4.4,0.66,15.99,14977,0.74,0.18,0.02,0.03,0.03,4.6,0.77,15.99,15763,0.73,0.19,0.04,0.03,0.01,4.6,0.58
284,28.99,10742,0.77,0.11,0.07,0.04,0.01,4.6,0.74,26.99,18478,0.6,0.28,0.08,0.02,0.02,4.4,0.76,15.99,10015,0.65,0.25,0.07,0.01,0.02,4.5,0.67,17.99,16197,0.64,0.26,0.02,0.01,0.07,4.4,1.15
285,24.99,10207,0.82,0.07,0.04,0.03,0.04,4.6,0.97,28.99,15529,0.68,0.18,0.05,0.03,0.06,4.4,1.22,17.99,14787,0.7,0.18,0.06,0.05,0.01,4.5,0.81,16.99,7617,0.6,0.32,0.01,0.03,0.04,4.4,0.95
297,26.99,15494,0.65,0.22,0.05,0.05,0.03,4.4,0.99,28.99,17076,0.69,0.18,0.07,0.02,0.04,4.5,0.93,16.99,18099,0.7,0.2,0.05,0.01,0.04,4.5,0.9,15.99,8293,0.7,0.2,0.05,0.01,0.04,4.5,0.9
300,28.99,18166,0.61,0.26,0.08,0.04,0.01,4.4,0.8,24.99,5584,0.62,0.26,0.05,0.02,0.05,4.4,1.05,16.99,18720,0.78,0.15,0.02,0.01,0.04,4.6,0.89,15.99,19536,0.71,0.17,0.01,0.02,0.09,4.4,1.43
315,26.99,7988,0.7,0.18,0.06,0.05,0.01,4.5,0.81,28.99,5242,0.73,0.19,0.04,0.03,0.01,4.6,0.58,15.99,18112,0.73,0.15,0.01,0.02,0.09,4.4,1.49,16.99,19776,0.82,0.03,0.04,0.05,0.06,4.5,1.36
319,28.99,18204,0.68,0.18,0.05,0.03,0.06,4.4,1.22,26.99,9507,0.62,0.26,0.05,0.02,0.05,4.4,1.05,15.99,11700,0.65,0.25,0.07,0.01,0.02,4.5,0.67,16.99,18986,0.75,0.18,0.03,0.01,0.03,4.6,0.71
322,28.99,18541,0.77,0.11,0.07,0.04,0.01,4.6,0.74,24.99,8887,0.66,0.22,0.09,0.02,0.01,4.5,0.7,17.99,14277,0.74,0.1,0.07,0.02,0.07,4.4,1.36,17.99,5905,0.75,0.17,0.03,0.02,0.03,4.6,0.79
326,28.99,19130,0.72,0.13,0.11,0.01,0.03,4.5,0.87,24.99,13322,0.83,0.05,0.03,0.04,0.05,4.6,1.1,17.99,12949,0.66,0.22,0.09,0.02,0.01,4.5,0.7,16.99,5102,0.6,0.32,0.01,0.03,0.04,4.4,0.95
333,24.99,8884,0.72,0.18,0.07,0.02,0.01,4.6,0.62,26.99,16971,0.71,0.23,0.03,0.02,0.01,4.6,0.53,17.99,7048,0.6,0.28,0.08,0.02,0.02,4.4,0.76,17.99,11803,0.74,0.1,0.07,0.02,0.07,4.4,1.36
334,26.99,18678,0.72,0.18,0.07,0.02,0.01,4.6,0.62,24.99,6043,0.65,0.25,0.07,0.01,0.02,4.5,0.67,17.99,14096,0.62,0.32,0.01,0.02,0.03,4.5,0.74,16.99,18349,0.64,0.26,0.02,0.01,0.07,4.4,1.15
344,26.99,19555,0.65,0.25,0.07,0.01,0.02,4.5,0.67,26.99,14162,0.83,0.05,0.05,0.03,0.04,4.6,1.04,17.99,14134,0.75,0.17,0.03,0.02,0.03,4.6,0.79,16.99,14821,0.6,0.32,0.01,0.03,0.04,4.4,0.95
346,26.99,18641,0.69,0.2,0.01,0.03,0.07,4.4,1.31,26.99,8730,0.69,0.18,0.07,0.02,0.04,4.5,0.93,15.99,6087,0.73,0.16,0.04,0.01,0.06,4.5,1.1,15.99,8736,0.74,0.14,0.05,0.03,0.04,4.5,1.06
347,28.99,14243,0.7,0.18,0.06,0.05,0.01,4.5,0.81,26.99,17741,0.76,0.08,0.04,0.02,0.1,4.4,1.64,17.99,9076,0.78,0.15,0.02,0.01,0.04,4.6,0.89,17.99,5437,0.77,0.13,0.05,0.02,0.03,4.6,0.84
355,28.99,12538,0.66,0.22,0.09,0.02,0.01,4.5,0.7,26.99,16892,0.66,0.19,0.07,0.04,0.04,4.4,1.09,15.99,13769,0.86,0.03,0.01,0.04,0.06,4.6,1.22,15.99,10998,0.83,0.05,0.05,0.03,0.04,4.6,1.04
359,24.99,13247,0.62,0.32,0.01,0.02,0.03,4.5,0.74,28.99,19456,0.78,0.07,0.06,0.05,0.04,4.5,1.15,16.99,15485,0.68,0.19,0.04,0.02,0.07,4.4,1.27,17.99,16726,0.77,0.13,0.06,0.03,0.01,4.6,0.68
360,28.99,9187,0.82,0.05,0.02,0.01,0.1,4.5,1.5,28.99,8526,0.72,0.14,0.07,0.04,0.03,4.5,0.98,16.99,9672,0.82,0.01,0.01,0.07,0.09,4.4,1.74,17.99,18676,0.72,0.14,0.07,0.04,0.03,4.5,0.98
368,26.99,18483,0.61,0.26,0.08,0.04,0.01,4.4,0.8,28.99,10836,0.64,0.24,0.1,0.01,0.01,4.5,0.61,15.99,15204,0.62,0.32,0.01,0.02,0.03,4.5,0.74,15.99,9409,0.83,0.07,0.01,0.02,0.07,4.6,1.19
372,24.99,7422,0.77,0.12,0.05,0.03,0.03,4.6,0.86,28.99,12427,0.69,0.14,0.14,0.02,0.01,4.5,0.77,17.99,17161,0.77,0.11,0.07,0.04,0.01,4.6,0.74,16.99,13847,0.65,0.25,0.07,0.01,0.02,4.5,0.67
376,26.99,17053,0.72,0.13,0.11,0.01,0.03,4.5,0.87,26.99,8133,0.78,0.15,0.02,0.01,0.04,4.6,0.89,17.99,6171,0.72,0.14,0.07,0.04,0.03,4.5,0.98,15.99,11168,0.73,0.15,0.01,0.02,0.09,4.4,1.49
377,28.99,14372,0.69,0.18,0.07,0.02,0.04,4.5,0.93,26.99,10029,0.76,0.08,0.04,0.02,0.1,4.4,1.64,16.99,19643,0.71,0.12,0.12,0.04,0.01,4.5,0.85,15.99,12153,0.62,0.32,0.01,0.02,0.03,4.5,0.74
387,26.99,9030,0.78,0.15,0.02,0.01,0.04,4.6,0.89,24.99,12675,0.65,0.25,0.07,0.01,0.02,4.5,0.67,16.99,19761,0.64,0.24,0.1,0.01,0.01,4.5,0.61,15.99,7190,0.72,0.15,0.07,0.02,0.04,4.5,1.02
389,28.99,15441,0.78,0.07,0.06,0.05,0.04,4.5,1.15,28.99,9808,0.83,0.07,0.01,0.02,0.07,4.6,1.19,15.99,10115,0.73,0.16,0.04,0.01,0.06,4.5,1.1,16.99,5698,0.81,0.08,0.06,0.01,0.04,4.6,0.93
