"product_name","source","id","Reviewer","Rating","Title","Date","Body","Number","image_urls"
"product1","all review","0","Ana","2.0 out of 5 stars","Not worth it","Reviewed in the United States on December 2, 2023","I got this for a heavy black friday discount and had high hopes. But ti really wasnt worth it for me.They stay in my ears until i laugh, chew, or im doing a workout. And then im fighting to keep them in my ear until I find the exact spot they sit comfortaby.And then if im constantly adjusting, my fingers hit the button no matter how i hold the earbuds. And of course when I want them to register my finger input, im pressing 3-4 times for it to notice. And then if im double tapping to skip to the next song, it only registers the first one and then pauses the music.Long story Short,im returning these. If you have a lot of patience, then get these. If not, i recommend getting ones that are smaller/sit in the ear better","2",""
"product1","all review","1","Chelsea Morehead","2.0 out of 5 stars","PAINFUL","Reviewed in the United States on March 9, 2024","I’ve tried to wear these for days hoping my ears just needed to get used to them but they’re not. Nobody mentioned how terribly uncomfortable and painful these were in the reviews. I’ve tried wearing them with and without the ear tips and they’re still extremely uncomfortable and painful. I will be returning them.","2",""
"product1","all review","2","Amber","2.0 out of 5 stars","Ear buds are painful!!","Reviewed in the United States on January 9, 2024","I like everything about these Barbuda except that they are incredibly painful to wear! I've tried all 3 sizes provided (horribly smashed, btw) and all 3 cause extreme pain. I've had to use a pair from an old set which provides slight comfort but only for a limited time. I cannot wear these for more than 10 mins without extreme ear pain. It feels like there's a plastic seam that just rubs the inside of the ear and it hurts! If I can't figure out a solution, I will have to return these. Very disappointed 😞","2",""
"product1","all review","3","Mikaela","2.0 out of 5 stars","Not as very good as the reviews made them out to be","Reviewed in the United States on February 7, 2023","The aesthetic of the earbuds is pretty nice, I enjoy the color and sleekness to it and think its overall visual design isn't bad at all. I especially like how you can see the battery life of the earbuds, which was the feature I was most attracted to, but that's really where my compliments end, and the only reason why I bothered giving an extra star.The earbuds are pretty uncomfortable if you have smaller ears. They feel tight and overly stiff and will make your ears feel on the sore side with extended use. Which is a shame, because again, visually, they look quite nice. They come off quite easily in my experience, so working out and running wouldn't be the best use of these headphones. It doesn't feel secure at all to my ears, but it could also simply be because they don't fit smaller ears in general too well.Secondly, the sound quality isn't very good at all. It sounds muffled and cheap, not something worth around a $30 price point. If you're not someone who cares about sound quality and just want a working pair of wireless earbuds that get the job done though, and you don't mind the muffled-ness, I can see this being a decent pair of headphones for you.Thirdly, I noticed pretty quickly, almost immediately actually, that the battery drains rather quickly. Not even a full 3-5 minutes had passed before it dropped 5%, which may not sound like a lot, but compared to other wireless headphones I've used its rather quick. Even now it's dropped 10% in 10 minutes and I haven't even used/touched it in that time.Overall, I think it's better to find a better pair of earbuds for half the price because there are much better options out there. For the price point, it isn't worth it, and I'm pretty disappointed considering all of the positive reviews.","2",""
"product1","all review","4","Anonymous","2.0 out of 5 stars","Earbuds That Fail At Being Earbuds","Reviewed in the United States on February 2, 2024","The worst pair of earbuds I've gotten outside of the kind of convenience stores that have sticky floors and a vague smell of malaise.The audio quality listening to music was meh.  On phone calls, no one could understand me because the microphone volume would go in and out.  Even wearing a properly fitted rubber tip, they don't stay in your ears.  I had mine for less than 48 hours before one fell out and immediately ran off to the magical land that your ballpoint pens and socks disappear to.","2",""
"product1","all review","5","AmazonReviewer","2.0 out of 5 stars","Not good for audiobooks","Reviewed in the United States on April 25, 2023","I use headphones primarily for audiobooks (and phone calls if someone calls while I’m listening to one). I can’t speak for the call quality because I listened for 2 minutes before deciding to return these. There is an ever-present background noise/static in these earbuds. I have really good hearing (probably to make up for my crappy eyesight lol), so maybe not everyone can hear it, but it is extremely noticeable and distracting to me when listening to audiobooks.As a test, I tried a short YouTube video and didn’t notice it as much (there is constant music/talking in most videos that mostly drowns out the static noise). But for audiobooks where the sound is just one person’s voice+pauses while they narrate, these are not the earbuds for that.My previous earbuds (that had great sound quality for the same price) were broken accidentally and that earbud brand is no longer available on Amazon, so I tried these after reading the good reviews. Bummer that they didn’t work out. My journey to find a suitable replacement continues.Giving the product 2 stars instead of 1 because their warranty is lifetime, even if lost, which I don’t see offered often. Also comes with a (very short) charging cord (my last pair did not come with one) and multiple rubber cone sizes for your ears. The shipping was extremely fast (same day) and the color options are cute. So two stars for those things, but with the sound quality being what it is (on audiobooks especially), I can’t say it “meets expectations” as one would expect from a 3 star rating.","2",""
"product1","all review","6","Kimberly","2.0 out of 5 stars","Keeps Falling Out","Reviewed in the United States on January 5, 2024","My husband and I have a different sleep cycle and I get up way early.  I purchased these so that I could listen to TV and do quiet stuff around the house without waking him.  No matter what I do, these ear buds keep falling out.  I've tried all the different sizes and the only way these stay in my ears is to not move.  Anytime I get up to do anything they fall out.  If they stayed in I would like them much better.","2",""
"product1","all review","7","Bertram Krueger","2.0 out of 5 stars","Even on sale, it wasn't worth it.","Reviewed in the United States on January 30, 2024","I got these on sale since I needed a quick replacement pair of earbuds. They didn't fit in my ears nearly as well as I'd hoped. The buttons on the side for pausing/unpausing were awkward to use from a lack of a physical button and a solid 2.5 second delay between input and response. The audio quality was also very poor, with songs sounding muffled and fuzzy like they were coming from the other side of a wall late at night. At least the battery life is good.","2",""
"product1","all review","8","Bill Petrie","2.0 out of 5 stars","Garbage.","Reviewed in the United States on February 25, 2024","I’m giving this two stars because the connection process was easy. Once connected, these were a severe disappointment from a sound perspective. I’d rather listen to my music on a 1970s era transistor radio as it would have more bass. I got wooed by the price and got burned.","2",""
"product1","all review","9","MarshWalker","2.0 out of 5 stars","Controls have very poor response","Reviewed in the United States on March 5, 2024","I'm constantly having to tap, tap, try again, hold my finger down, try tapping again... once in a while it works, but if I'm driving and need to answer a call this is NOT going to work. It's very frustrating just watching videos! The sound has little bass. Returning.","2",""
