"","p1","p2","p3","p4","p5","mean","var"
"1",0.37,0.31,0.28,0.02,0.02,4,0.918392203878844
"2",0.41,0.3,0.21,0.05,0.03,4,1.11866285574067
"3",0.42,0.32,0.14,0.1,0.02,4,1.17230713030718
"4",0.47,0.23,0.16,0.12,0.02,4,1.29215389720448
"5",0.44,0.28,0.18,0.02,0.08,4,1.39717522438855
"6",0.48,0.24,0.18,0.02,0.08,4,1.45546382701789
"7",0.45,0.32,0.09,0.05,0.09,4,1.52977471434172
"8",0.5,0.23,0.12,0.08,0.07,4,1.57872334366174
"9",0.52,0.18,0.15,0.07,0.08,4,1.64011223604966
"10",0.45,0.36,0.04,0.03,0.12,4,1.69190498566225
"11",0.5,0.3,0.02,0.08,0.1,4,1.77398244693808
"12",0.51,0.31,0.01,0.04,0.13,4,1.87251283684271
"13",0.52,0.26,0.06,0.02,0.14,4,1.93318145662176
"14",0.57,0.16,0.12,0.01,0.14,4,1.983312214622
"15",0.54,0.24,0.02,0.06,0.14,4,2.06396145190066
"16",0.56,0.23,0.03,0.02,0.16,4,2.14890888119032
"17",0.64,0.08,0.07,0.07,0.14,4,2.25208208735022
"18",0.68,0.01,0.08,0.1,0.13,4,2.34133660755765
"19",0.64,0.14,0.01,0.01,0.2,4,2.4917170434127
"20",0.73,0.02,0.01,0.01,0.23,4,2.87371584159797
